+--------+-----------+----------+--------------------------+-----------+
|movie_id|movie_title|genre_name|session_start_time        |cinema_name|
+--------+-----------+----------+--------------------------+-----------+
|549     |Movie 549  |Action    |2024-07-20 19:00:00.000000|Cinema 806 |
|762     |Movie 762  |Action    |2024-07-20 21:00:00.000000|Cinema 632 |
|471     |Movie 471  |Drama     |2024-07-20 10:00:00.000000|Cinema 906 |
|808     |Movie 808  |Sci-Fi    |2024-07-20 08:00:00.000000|Cinema 714 |
|93      |Movie 93   |Horror    |2024-07-20 18:00:00.000000|Cinema 902 |
|897     |Movie 897  |Drama     |2024-07-20 16:00:00.000000|Cinema 959 |
|929     |Movie 929  |Sci-Fi    |2024-07-20 18:00:00.000000|Cinema 735 |
|402     |Movie 402  |Drama     |2024-07-20 16:00:00.000000|Cinema 19  |
|418     |Movie 418  |Action    |2024-07-20 16:00:00.000000|Cinema 609 |
|210     |Movie 210  |Sci-Fi    |2024-07-20 07:00:00.000000|Cinema 82  |
|836     |Movie 836  |Sci-Fi    |2024-07-20 22:00:00.000000|Cinema 1000|
|764     |Movie 764  |Drama     |2024-07-20 01:00:00.000000|Cinema 989 |
|980     |Movie 980  |Comedy    |2024-07-20 18:00:00.000000|Cinema 719 |
|321     |Movie 321  |Drama     |2024-07-20 11:00:00.000000|Cinema 593 |
|201     |Movie 201  |Action    |2024-07-20 11:00:00.000000|Cinema 255 |
|609     |Movie 609  |Sci-Fi    |2024-07-20 10:00:00.000000|Cinema 61  |
|638     |Movie 638  |Sci-Fi    |2024-07-20 00:00:00.000000|Cinema 228 |
|318     |Movie 318  |Sci-Fi    |2024-07-20 22:00:00.000000|Cinema 338 |
|833     |Movie 833  |Horror    |2024-07-20 22:00:00.000000|Cinema 977 |
|431     |Movie 431  |Action    |2024-07-20 14:00:00.000000|Cinema 310 |
|432     |Movie 432  |Drama     |2024-07-20 22:00:00.000000|Cinema 898 |
|360     |Movie 360  |Horror    |2024-07-20 05:00:00.000000|Cinema 285 |
|937     |Movie 937  |Sci-Fi    |2024-07-20 00:00:00.000000|Cinema 392 |
|430     |Movie 430  |Sci-Fi    |2024-07-20 11:00:00.000000|Cinema 599 |
|582     |Movie 582  |Action    |2024-07-20 04:00:00.000000|Cinema 584 |
|396     |Movie 396  |Horror    |2024-07-20 08:00:00.000000|Cinema 180 |
|20      |Movie 20   |Horror    |2024-07-20 20:00:00.000000|Cinema 624 |
|498     |Movie 498  |Sci-Fi    |2024-07-20 21:00:00.000000|Cinema 748 |
|36      |Movie 36   |Action    |2024-07-20 18:00:00.000000|Cinema 678 |
