4,Интерстеллар,Научно-фантастический фильм о космических путешествиях,2024-03-22 23:39:03.417043,Фантастика,Великобритания
3,Властелин колец: Братство кольца,Фэнтезийный приключенческий фильм,2024-03-22 20:33:50.319457,Драма,Франция
3,Властелин колец: Братство кольца,Фэнтезийный приключенческий фильм,2024-03-22 15:16:44.136671,Драма,Франция
6,Джокер,Психологический триллер,2024-03-22 18:02:19.725686,Триллер,Россия
6,Джокер,Психологический триллер,2024-03-22 18:40:21.432221,Триллер,Россия
5,Матрица,Научно-фантастический экшн,2024-03-22 14:32:18.880912,Фантастика,Франция
5,Матрица,Научно-фантастический экшн,2024-03-22 14:03:39.375340,Фантастика,Франция
2,Звездные войны: Новая надежда,Эпическая космическая опера,2024-03-22 15:24:33.460080,Фантастика,Франция
6,Джокер,Психологический триллер,2024-03-22 21:08:01.487821,Триллер,Россия
3,Властелин колец: Братство кольца,Фэнтезийный приключенческий фильм,2024-03-22 19:57:22.696717,Драма,Франция
2,Звездные войны: Новая надежда,Эпическая космическая опера,2024-03-22 23:33:14.886329,Фантастика,Франция
6,Джокер,Психологический триллер,2024-03-22 19:09:13.150536,Триллер,Россия
6,Джокер,Психологический триллер,2024-03-22 21:48:13.089544,Триллер,Россия
3,Властелин колец: Братство кольца,Фэнтезийный приключенческий фильм,2024-03-22 21:12:36.319686,Драма,Франция
5,Матрица,Научно-фантастический экшн,2024-03-22 17:01:57.890251,Фантастика,Франция
4,Интерстеллар,Научно-фантастический фильм о космических путешествиях,2024-03-22 21:57:59.114039,Фантастика,Великобритания
5,Матрица,Научно-фантастический экшн,2024-03-22 17:14:27.981276,Фантастика,Франция
5,Матрица,Научно-фантастический экшн,2024-03-22 16:48:02.046320,Фантастика,Франция
4,Интерстеллар,Научно-фантастический фильм о космических путешествиях,2024-03-22 16:30:55.097663,Фантастика,Великобритания
2,Звездные войны: Новая надежда,Эпическая космическая опера,2024-03-22 16:56:36.994942,Фантастика,Франция
5,Матрица,Научно-фантастический экшн,2024-03-22 21:01:08.048386,Фантастика,Франция
6,Джокер,Психологический триллер,2024-03-22 20:29:23.952164,Триллер,Россия
3,Властелин колец: Братство кольца,Фэнтезийный приключенческий фильм,2024-03-22 14:57:39.827570,Драма,Франция
